,0,1,2
1053,criminal,08-09,61
1054,criminal,05-12,611
1055,criminal,05-13,2380
1056,criminal,05-14,5321
1057,criminal,11-08,4
1058,criminal,08-10,73
1059,criminal,02-15,543
1060,criminal,01-11,168
1061,criminal,12-14,21903
1062,criminal,08-08,1
1063,criminal,10-12,1008
1064,criminal,01-14,3792
1065,criminal,12-10,94
1066,criminal,12-11,384
1067,criminal,12-12,2124
1068,criminal,12-13,2676
1069,criminal,09-09,58
1070,criminal,01-13,2539
1071,criminal,01-09,14
1072,criminal,06-11,294
1073,criminal,06-10,114
1074,criminal,06-13,2358
1075,criminal,06-12,676
1076,criminal,06-14,6180
1077,criminal,04-09,36
1078,criminal,07-09,77
1079,criminal,07-08,4
1080,protester,10-13,324
1081,protester,02-14,842
1082,protester,10-10,20
1083,protester,10-11,1368
1084,protester,02-11,583
1085,protester,02-10,27
1086,protester,10-14,4744
1087,protester,03-13,163
1088,protester,03-09,4
1089,protester,03-08,1
1090,protester,02-13,154
1091,protester,11-09,25
1092,protester,04-08,8
1093,protester,09-08,3
1094,protester,09-13,265
1095,protester,07-14,1005
1096,protester,08-14,12091
1097,protester,08-13,430
1098,protester,07-13,1056
1099,protester,08-11,89
1100,protester,07-11,64
1101,protester,01-14,533
1102,protester,01-15,764
1103,protester,04-11,123
1104,protester,04-10,28
1105,protester,01-10,6
1106,protester,03-14,542
1107,protester,01-12,350
1108,protester,04-14,553
1109,protester,09-14,2394
1110,protester,07-12,157
1111,protester,02-12,148
1112,protester,09-10,14
1113,protester,09-11,274
1114,protester,09-12,374
1115,protester,08-12,199
1116,protester,05-08,2
1117,protester,12-09,20
1118,protester,12-08,1
1119,protester,05-09,10
1120,protester,10-08,6
1121,protester,06-08,6
1122,protester,06-09,150
1123,protester,05-11,75
1124,protester,03-12,243
1125,protester,11-14,19942
1126,protester,03-10,56
1127,protester,03-11,257
1128,protester,11-11,1478
1129,protester,11-10,28
1130,protester,11-13,270
1131,protester,11-12,172
1132,protester,10-09,26
1133,protester,04-12,119
1134,protester,02-09,4
1135,protester,05-10,16
1136,protester,08-09,60
1137,protester,05-12,573
1138,protester,05-13,284
1139,protester,05-14,687
1140,protester,11-08,2
1141,protester,08-10,15
1142,protester,02-15,32
1143,protester,01-11,134
1144,protester,12-14,14878
1145,protester,08-08,2
1146,protester,10-12,130
1147,protester,08-07,2
1148,protester,12-10,21
1149,protester,12-11,459
1150,protester,12-12,269
1151,protester,12-13,265
1152,protester,04-13,132
1153,protester,09-09,45
1154,protester,01-13,176
1155,protester,01-09,9
1156,protester,06-11,111
1157,protester,06-10,66
1158,protester,06-13,638
1159,protester,06-12,159
1160,protester,07-10,24
1161,protester,06-14,655
1162,protester,04-09,17
1163,protester,07-09,25
1164,civilian,10-12,142
1165,civilian,10-13,232
1166,civilian,10-10,9
1167,civilian,10-11,31
1168,civilian,02-11,26
1169,civilian,02-10,7
1170,civilian,10-14,1282
