,0,1,2,3
600,officer,09-7-12,-9.6111,116
601,officer,09-7-13,-6.1759,279
602,officer,09-7-14,-144.111,1325
603,officer,01-21-09,-0.4404,2
604,officer,11-0-09,-2.6962,18
605,officer,11-0-08,0.4003,1
606,officer,08-21-10,-2.1659,6
607,officer,05-14-11,1.0597,26
608,officer,05-14-10,0.7116,11
609,officer,05-14-13,2.9098,396
610,officer,05-14-12,-2.5531,120
611,officer,05-14-14,18.5356,627
612,officer,02-28-12,-2.8518,20
613,officer,02-28-13,-1.134,42
614,officer,02-28-10,0.0,1
615,officer,02-28-11,-0.7003,2
616,officer,02-28-14,1.2984,99
617,officer,03-14-13,-7.6285,198
618,officer,03-14-12,3.2282,85
619,officer,03-14-11,-4.6551,18
620,officer,03-14-10,-0.7333,10
621,officer,03-14-14,-8.8655,464
622,officer,12-21-09,-1.1233,14
623,officer,12-21-08,0.0,1
624,officer,02-14-09,0.857,4
625,officer,11-28-12,6.9825,76
626,officer,11-28-13,1.9005,102
627,officer,11-28-10,-0.9066,7
628,officer,11-28-11,-3.8578,75
629,officer,11-28-14,-275.8504,1594
630,officer,10-14-13,-22.4308,341
631,officer,10-14-12,-4.1683,146
632,officer,10-14-11,-4.2791,64
633,officer,10-14-10,-1.8208,15
634,officer,10-14-14,-167.3052,1462
635,officer,10-28-08,0.1531,1
636,officer,11-14-09,-1.0856,9
637,officer,11-14-08,-0.2144,1
638,officer,05-28-08,0.0,1
639,officer,05-28-09,-1.5458,6
640,officer,03-7-12,-6.6478,52
641,officer,03-7-13,10.5223,186
642,officer,03-7-10,-0.5983,5
643,officer,03-7-11,0.5249,22
644,officer,03-7-14,-29.8442,492
645,officer,08-7-09,-1.0534,14
646,officer,07-14-09,0.086,6
647,officer,04-28-09,1.5572,3
648,officer,10-7-12,-7.7103,119
649,officer,01-28-12,0.3964,48
650,officer,08-21-13,-7.8853,301
651,officer,08-21-12,-9.9542,91
652,officer,08-21-14,-692.5515,4119
653,officer,10-7-14,-344.6468,2387
654,officer,01-28-14,-27.6115,331
655,officer,08-0-14,-77.7369,717
656,officer,08-0-10,0.5765,8
657,officer,08-0-11,-1.3419,27
658,officer,08-0-12,-9.969,100
659,officer,08-0-13,-11.4999,256
660,officer,03-21-14,-25.6152,503
661,officer,03-21-10,0.1018,11
662,officer,03-21-11,-2.2052,22
663,officer,03-21-12,-2.0632,112
664,officer,03-21-13,-5.5626,193
665,officer,12-28-13,-5.557,139
666,officer,12-28-12,2.9867,70
667,officer,12-28-11,-4.0677,27
668,officer,12-28-10,0.8971,14
669,officer,12-28-14,-169.2634,1246
670,officer,02-21-14,-49.7438,595
671,officer,02-21-13,-24.9161,235
672,officer,02-21-12,-6.599,58
673,officer,02-21-11,2.6264,14
674,officer,02-21-10,-1.3994,14
675,officer,07-28-11,-0.1231,13
676,officer,07-28-10,-0.7717,3
677,officer,07-28-13,-11.1692,230
678,officer,07-28-12,3.2244,45
679,officer,07-28-14,-50.021,512
680,officer,10-21-14,-275.8994,1877
681,officer,10-21-10,2.2102,8
682,officer,10-21-11,-4.1835,78
683,officer,10-21-12,-17.1979,151
684,officer,10-21-13,-29.7558,425
685,officer,08-28-10,-0.6112,8
686,officer,07-0-14,-77.929,592
687,officer,08-28-12,-3.9742,66
688,officer,08-28-13,-17.5279,187
689,officer,08-28-14,-90.2704,782
690,officer,07-0-10,2.2827,15
691,officer,07-0-13,-18.5839,323
692,officer,07-0-12,3.5831,72
693,officer,11-21-14,-3520.8264,17834
694,officer,11-21-13,-29.543,369
695,officer,11-21-12,-3.0384,89
696,officer,11-21-11,4.0981,92
697,officer,11-21-10,-2.6784,9
698,officer,01-0-15,-117.5665,1003
699,officer,01-0-14,-3.436,222
700,officer,01-0-13,-1.4874,108
701,officer,01-0-12,-0.9367,52
