,0,1,2,
395,19,0.00680381854915,sucker,
396,19,0.00673387198199,fellow,
397,19,0.00672059061159,fella,
398,19,0.00633732895275,american,
399,19,0.00596299869697,uncle,
400,20,0.247131230996,mum,British One
401,20,0.0603868146307,pal,British One
402,20,0.0332303008779,bastard,British One
403,20,0.0236919875318,neighbour,British One
404,20,0.0204454976473,bloke,British One
405,20,0.016905714053,cousin,British One
406,20,0.015081610337,lecturer,British One
407,20,0.0150115739206,housemate,British One
408,20,0.0143517002409,nan,British One
409,20,0.0136485488996,cunt,British One
410,20,0.0130179273491,wanker,British One
411,20,0.0108703143768,dickhead,British One
412,20,0.0104033537064,aunty,British One
413,20,0.0102626603275,uncle,British One
414,20,0.0100962913795,footballer,British One
415,20,0.0087530589847,grandad,British One
416,20,0.00824785632208,doctor,British One
417,20,0.00800615119545,bum,British One
418,20,0.00773429377885,tutor,British One
419,20,0.00772990750938,girlfriend,British One
420,21,0.20570492163,jew,Religious Conflict
421,21,0.0610537282169,terrorist,Religious Conflict
422,21,0.0517744469658,arab,Religious Conflict
423,21,0.0512460703522,civilian,Religious Conflict
424,21,0.044441121202,israeli,Religious Conflict
425,21,0.0419171772115,soldier,Religious Conflict
426,21,0.0316973135567,zionist,Religious Conflict
427,21,0.0271972726007,nazi,Religious Conflict
428,21,0.0176062455566,citizen,Religious Conflict
429,21,0.0157674523298,american,Religious Conflict
430,21,0.0145654763459,criminal,Religious Conflict
431,21,0.0140305644507,rabbi,Religious Conflict
432,21,0.0139278358786,drone,Religious Conflict
433,21,0.01278059259,army,Religious Conflict
434,21,0.0123905932145,rebel,Religious Conflict
435,21,0.0122454372755,leader,Religious Conflict
436,21,0.0118579730247,prisoner,Religious Conflict
437,21,0.010826928458,victim,Religious Conflict
438,21,0.00875912506961,journalist,Religious Conflict
439,21,0.0086905262077,settler,Religious Conflict
440,22,0.0818379301217,roommate,
441,22,0.0815598019467,cousin,
442,22,0.0662837811375,grandma,
443,22,0.0327437208171,freshman,
444,22,0.030995168159,aunt,
445,22,0.0269844057601,boyfriend,
446,22,0.0233359986308,neighbor,
447,22,0.0223344520135,grandpa,
448,22,0.022085578377,uncle,
449,22,0.0167948696673,adult,
450,22,0.0148970232198,sophomore,
451,22,0.0134965373915,girlfriend,
452,22,0.0127491065202,family,
453,22,0.0121689108251,driver,
454,22,0.0111143290496,doctor,
455,22,0.0109489643905,sibling,
456,22,0.00980348357962,favorite,
457,22,0.00972068926003,stranger,
458,22,0.00871000581604,senior,
459,22,0.00829947330627,schooler,
460,23,0.141362886579,leader,Politics British
461,23,0.0765095179893,minister,Politics British
462,23,0.0723205768787,politician,Politics British
463,23,0.0555586431697,tory,Politics British
464,23,0.028452348957,voter,Politics British
465,23,0.0271484935269,supporter,Politics British
466,23,0.0250756019274,journalist,Politics British
467,23,0.0172459635661,kenyan,Politics British
468,23,0.0154963596022,journo,Politics British
469,23,0.0147237255215,scot,Politics British
470,23,0.0139567232025,citizen,Politics British
471,23,0.0135902063124,candidate,Politics British
472,23,0.0135119960382,colleague,Politics British
473,23,0.0115156991775,worker,Politics British
474,23,0.0111546026156,ambassador,Politics British
475,23,0.00894796932971,banker,Politics British
476,23,0.00883784336869,victim,Politics British
477,23,0.00864830400629,secretary,Politics British
478,23,0.00848440609875,youth,Politics British
479,23,0.00800578162054,farmer,Politics British
480,24,0.105481835102,worker,
481,24,0.0605375574053,indian,
482,24,0.0582600689593,immigrant,
483,24,0.045199723689,citizen,
484,24,0.0394017524283,american,
485,24,0.0373829997439,youth,
486,24,0.0256802189251,activist,
487,24,0.0253747223709,minority,
488,24,0.0200452492063,individual,
489,24,0.0185092439549,scholar,
490,24,0.0184145515258,native,
491,24,0.0168806222154,leader,
492,24,0.0142903912438,asian,
493,24,0.0115294764522,organizer,
494,24,0.0111813109597,academic,
495,24,0.00916946655663,mexican,
496,24,0.00900147071786,historian,
497,24,0.00838100141955,advocate,
498,24,0.00816164474543,hispanic,
499,24,0.00802524723061,partner,
500,25,0.0913355485822,marine,Military
501,25,0.0884904333813,soldier,Military
502,25,0.0498940147129,army,Military
503,25,0.0356763546098,senior,Military
504,25,0.0323329317658,veteran,Military
